phi,beta,p10,mu[1],mu[2],mu[3],mu[4],mu[5],mu[6],mu[7],mu[8],mu[9],mu[10],mu[11],mu[12],mu[13],mu[14],mu[15],mu[16],mu[17],mu[18],mu[19],mu[20]
0.85538016,2.377571224,-3.245330972,0.078322921,1.09E-48,0.000695781,0.651887699,0.074599429,0.051735726,6.20E-05,0.088518015,0.037702799,0.940756547,4.06E-13,3.45E-15,5.768155311,0.086984379,0.127173255,2.366342541,0.013605579,2.371088617,3.015350059,0.033476441
1.051138519,3.266577189,-4.267076483,0.113602845,1.41E-26,0.001357062,0.526714023,2.35E-19,1.66E-06,0.003580774,0.131407124,0.00026486,0.934244514,0.070739256,1.30E-13,5.970458347,0.085616127,0.434970205,2.518131913,5.77E-05,2.292866977,3.079387892,0.077487495
1.061220901,3.18657402,-4.329458428,0.114854812,5.10E-25,0.001166224,0.521464511,2.17E-20,1.56E-10,0.002531726,0.131888336,0.000447289,0.915698096,0.226412132,1.15E-14,5.838816438,0.085261917,0.538468927,2.417186679,1.58E-07,2.377400482,3.131067311,0.073094582
1.058533405,2.349253038,-4.296184084,0.118959319,1.03E-11,0.002051015,0.503913603,3.42E-10,1.25E-14,0.004948609,0.131274297,0.065694905,1.0873259,0.035184818,8.47E-10,6.550877188,0.104897479,0.497548865,3.127416141,5.16E-12,1.99390443,2.80020054,0.11115432
0.829059818,2.163663956,-3.667050363,0.072181591,1.92E-09,0.002226909,0.684587208,4.13E-19,1.54E-14,0.002375354,0.240677416,4.13E-08,0.598067151,0.128823463,3.74E-10,5.70826372,0.110927872,0.158487944,2.833408414,2.42E-12,2.616838355,3.642725535,0.019080597
0.914529654,2.886644436,-3.883348059,0.104189598,0.000407685,0.001212242,0.689105247,1.09E-18,1.54E-05,0.001033134,0.015401181,0.206127468,0.853331598,2.97E-24,4.34E-11,4.942324175,0.103587051,0.20419522,3.210748214,0.073629177,3.009343142,3.252839615,0.066738325
0.924810136,2.729533432,-3.434101939,0.102447637,1.21E-08,0.003826414,0.750893274,2.06E-20,6.82E-06,0.001622106,0.032082011,7.93E-06,0.767097959,4.03E-23,8.75E-21,5.129311223,0.081930847,0.647742869,2.782377386,1.12E-07,4.309659646,3.630711934,0.064675968
0.972384932,2.664206754,-3.406433212,0.113715205,1.94E-06,0.000928185,0.77056478,7.30E-22,0.000903263,0.00145245,0.024546438,3.15E-05,0.742083264,1.50E-22,1.47E-20,5.118544205,0.08378047,1.076923627,2.739313276,5.05E-10,4.282781907,3.686936777,0.072447024
1.007079094,1.639120866,-3.916760688,0.094999058,0.007545642,0.002691146,0.640570693,2.79E-19,0.000386072,0.00137074,0.005737044,1.15E-06,0.893150936,1.55E-17,3.99E-17,7.176999827,0.081121342,0.904896316,3.798115472,1.66E-07,1.664696779,2.649460186,0.185139698
0.975983943,3.206106292,-3.920672544,0.094226,0.006140158,0.003953507,0.475385571,1.70E-22,0.006833579,8.39E-06,0.010226745,3.77E-05,0.924294955,1.40E-11,5.88E-17,4.911568066,0.126947798,1.087288661,3.772918447,8.42E-06,2.43641355,3.781300474,0.025557167
