phi,mu[1],mu[2],mu[3],mu[4],mu[5],mu[6],mu[7],mu[8],mu[9],mu[10],mu[11],mu[12],mu[13],mu[14],mu[15],mu[16],mu[17],mu[18],mu[19],mu[20]
1.087381251,0.104236825,5.10E-15,0.005365108,0.630239977,6.96E-10,2.15E-11,1.90E-05,9.98E-05,0.015115588,1.092574248,8.05E-05,5.06E-08,6.064198646,0.100641828,0.014078503,3.629149085,5.15E-05,2.132276712,3.159663805,0.098816237
0.943781249,0.078929413,3.06E-14,0.004776465,0.612616717,1.42E-09,2.89E-12,7.36E-07,0.000122722,0.003419356,0.865433544,0.09240086,8.90E-08,5.641335213,0.104277674,0.017281117,3.473604498,3.96E-05,1.587312313,2.397431442,0.039291745
1.051282481,0.10288705,0.001596363,1.14E-06,0.827895374,1.56E-15,1.42E-10,2.47E-06,0.156026999,0.018859869,0.726475746,1.41E-05,0.009164394,6.398808716,0.118984377,0.001201678,3.664176538,2.46E-05,1.48804728,3.429960788,0.189297384
0.974837406,0.086565219,0.001319314,0.002177264,0.484488012,0.015408397,0.154452901,0.028377904,1.72E-06,0.00083431,1.131256648,6.29E-12,1.19E-13,7.890087087,0.108583868,0.000733167,3.699319896,6.67E-06,1.821530681,2.330189297,0.023735376
0.96494294,0.087434829,0.002428933,0.001758794,0.479450712,0.027469962,0.049580144,0.024948669,3.08E-06,0.001454404,1.099775811,2.38E-12,1.03E-14,7.867790949,0.105261659,0.00021949,3.717174555,7.21E-06,1.841555868,2.358547523,0.025433144
1.148164495,0.073998856,2.06E-13,0.009459608,0.537381761,0.000651859,4.78E-05,0.000284249,1.69E-05,0.029731642,0.815475467,0.594921034,0.000598745,6.288036467,0.120408173,0.015735479,3.880983494,0.069951024,1.918521734,2.840595748,0.020720472
0.886895137,0.114556276,1.67E-09,2.98E-05,0.661430988,0.004639895,1.78E-05,0.004607988,0.004815381,3.34E-05,1.194273505,6.24E-17,0.000648441,5.886248895,0.112344553,0.043888907,3.470300543,2.95E-07,3.293786806,3.383304035,0.180021187
1.07559541,0.090417807,0.000740609,0.006357906,0.53651563,2.04E-28,9.52E-14,0.000424601,0.008125777,0.000192471,0.924988582,3.35E-27,3.83E-17,5.687666662,0.087376726,8.35E-14,5.215713947,2.14E-08,1.681627979,3.070372622,0.038793898
0.788326861,0.116727358,0.003491138,0.00046232,0.483396869,2.33E-11,0.286371187,0.009445911,0.099492837,0.006397521,0.620981773,0.131298825,3.09E-18,6.839081698,0.10840188,0.000470599,4.273321032,2.14E-14,1.345115333,2.452928942,0.056443672
1.148052856,0.072035744,5.10E-05,0.000626757,0.679701733,2.45E-11,4.26E-12,0.001481856,0.205557008,0.001087557,1.495446745,0.000163044,2.33E-22,4.972907734,0.096259876,0.025639234,3.016987262,3.70E-15,2.368671281,3.000734163,0.048118381
1.173146332,0.057941327,5.16E-07,0.001287021,0.674238727,2.22E-18,2.09E-10,0.000594827,0.035108091,0.000157145,1.57663823,0.006316669,9.15E-24,5.036380958,0.090374537,0.02442925,2.940405561,1.46E-19,2.519474367,2.982695349,0.061528983
0.72244031,0.129613634,6.10E-28,0.000496383,0.544279186,2.14E-19,1.35E-08,0.000373738,0.004804756,0.003671874,0.591075738,1.99E-13,1.21E-32,6.347517244,0.107233087,0.008509243,3.972984579,2.61E-17,1.119957014,2.285930727,0.078145155
0.724795919,0.13131271,1.38E-25,9.30E-05,0.577482255,6.26E-19,3.17E-17,0.00234114,0.051545008,0.00955876,0.683474095,6.39E-08,9.75E-36,5.997192948,0.103416129,0.001445326,3.66486689,2.05E-22,1.326787339,2.417447272,0.120547116
0.857588024,0.104248434,1.95E-42,0.016312643,0.710039514,0.048837281,4.82E-12,0.000173929,0.007131303,0.003595656,0.943193903,0.000306822,2.85E-26,5.720737059,0.109779406,0.114257714,3.149671404,0.008356028,1.712792347,2.753332731,0.024273218
1.053148211,0.12034444,8.61E-46,0.00047034,0.518102478,5.18E-07,1.71E-17,1.32E-05,0.026939981,2.22E-05,1.095450007,9.40E-07,9.10E-19,5.969840785,0.131486958,0.000201852,3.767333708,0.014069233,1.970242819,3.071289947,0.016079428
