ID,mean,sd,cv
1,0.005971364,0.02668061,4.468093279
2,0.005816911,0.026494276,4.554698302
3,0.019331129,0.065421949,3.384279771
4,0.018014417,0.064901894,3.602775244
5,0.017372957,0.059922403,3.449176968
6,0.673651982,0.351654132,0.522011575
7,0.24618186,0.282244705,1.146488634
8,0.624179738,0.359861598,0.576535213
9,3.103026707,1.390281156,0.448040345
10,0.005049752,0.02381049,4.715180125
11,0.005248674,0.02443261,4.655005963
12,0.005251402,0.025254494,4.809095659
13,0.107713397,0.110086469,1.022031351
14,0.014553093,0.051798045,3.559246388
15,0.196799431,0.246029605,1.250154046
16,0.929224671,0.480599255,0.51720458
17,1.731889744,0.688179158,0.397357373
18,3.703752494,1.253082961,0.338327943
19,0.012884326,0.047540239,3.689773084
20,0.013272256,0.048790942,3.6761603
21,0.005101617,0.023079575,4.523972675
22,0.013600683,0.046728605,3.435754372
23,0.390532779,0.257613209,0.659645548
24,0.014274951,0.05175425,3.625529045
25,0.264227376,0.201144706,0.761256115
26,1.313073889,0.534584339,0.407124339
27,2.033494715,0.825586718,0.405994032
28,0.009988956,0.040395812,4.044047565
29,0.01032757,0.039712986,3.845336797
30,0.010154431,0.037246927,3.668046806
31,0.15770244,0.119198799,0.755846261
32,0.083571183,0.087516151,1.047204889
33,0.135797937,0.123027048,0.905956681
34,0.912596469,0.361145999,0.3957346
35,0.791716353,0.312119698,0.394231717
36,5.756588691,2.165649288,0.376203582
37,0.003221885,0.014393318,4.467359411
38,0.007266235,0.029116574,4.00710597
39,0.003311194,0.01486847,4.490364983
40,0.066884693,0.070394673,1.052478073
41,0.189037427,0.117523974,0.621696857
42,0.180444271,0.123841542,0.686314622
43,1.112600429,0.404802696,0.363834747
44,1.81087931,0.671872768,0.37102018
45,2.635949525,0.828703321,0.314385125
46,0.005479249,0.021757133,3.970823962
47,0.002814399,0.013586603,4.827532858
48,0.092860006,0.086942656,0.936276664
49,0.171387485,0.106895987,0.623709411
50,0.278882453,0.14594199,0.523310047
51,0.278951542,0.149985946,0.537677421
52,0.566100062,0.228750421,0.404081251
