ID,mean,sd,cv
1,0.025157496,0.128543554,5.109552782
2,0.023667389,0.136253361,5.757008477
3,0.025286245,0.146192384,5.781498264
4,0.023208504,0.115581148,4.980120511
5,0.024183085,0.134804323,5.574322922
6,1.876573728,1.789988602,0.953859993
7,0.025303054,0.133445743,5.273898616
8,1.004787202,1.280384057,1.274283804
9,2.788050905,2.564399413,0.919782134
10,0.015999434,0.072919579,4.557634878
11,0.01696739,0.087511135,5.15760718
12,0.016364608,0.097043031,5.930055259
13,0.357345019,0.509624321,1.426140828
14,0.01759139,0.100884383,5.734872906
15,0.015150219,0.075178266,4.962190119
16,0.694894793,0.817639773,1.17663822
17,3.147447951,2.353329515,0.747694498
18,8.208349729,4.818920229,0.587075404
19,0.011036573,0.059209041,5.364803308
20,0.01260842,0.060108785,4.76735262
21,0.012268869,0.063699984,5.192001203
22,0.012582028,0.062520375,4.969021913
23,0.265792717,0.344614813,1.296554762
24,0.012944587,0.064393182,4.974525973
25,0.257994644,0.323796842,1.255052575
26,2.191501293,1.489671801,0.679749451
27,2.222421225,1.543108153,0.69433649
28,0.00841478,0.043187383,5.132324388
29,0.008412396,0.041798977,4.968735991
30,0.00826042,0.039275783,4.754695592
31,0.345540235,0.307326404,0.889408448
32,0.177350313,0.207726576,1.17127832
33,0.17769666,0.211505607,1.190262145
34,1.650662464,0.948961099,0.574897122
35,1.661134464,0.908768038,0.547076746
36,4.519114847,2.148867068,0.475506187
37,0.005205525,0.025140247,4.829531101
38,0.005439855,0.025854142,4.752726465
39,0.005139869,0.024290154,4.725831617
40,0.11697349,0.127870779,1.093160334
41,0.342492751,0.244083742,0.712668343
42,0.229720167,0.191216949,0.832390778
43,1.121112267,0.552571826,0.492878227
44,1.112771352,0.552187239,0.496227045
45,3.080154422,1.280598654,0.415757939
46,0.00437962,0.019830562,4.527918525
47,0.004515228,0.020811914,4.609272167
48,0.096867475,0.104384,1.077595963
49,0.278461332,0.196049967,0.704047364
50,0.364782114,0.221636196,0.60758515
51,0.279340885,0.194611863,0.696682347
52,0.737180309,0.367815541,0.498949221
53,1.003209744,0.466361749,0.464869637
54,2.894560314,1.101864845,0.380667433
55,0.003490308,0.016230515,4.650167268
56,0.074569409,0.07766519,1.041515428
57,0.074587445,0.07910955,1.060628237
58,0.217493835,0.141409616,0.650177582
59,0.218833323,0.144398781,0.659857372
60,0.506905485,0.241441831,0.476305422
61,0.219616358,0.142762355,0.650053374
62,1.297265038,0.495131012,0.381672979
63,3.455707931,1.092624115,0.316179532
64,0.002662759,0.0124509,4.675939436
65,0.002892671,0.014054333,4.858600304
66,0.108917185,0.083295845,0.76476311
67,0.054722192,0.057509186,1.050929867
68,0.371562705,0.164923218,0.443863756
69,0.054917531,0.056955398,1.037107774
70,0.318171942,0.154248163,0.484794988
71,1.628828651,0.499367992,0.306581046
72,2.729335435,0.772220465,0.282933514
73,0.001612649,0.007415702,4.59845928
74,0.10490058,0.064353569,0.613471996
75,0.105299268,0.065117494,0.618404052
76,0.001766656,0.008643778,4.89273324
77,0.10560425,0.065688268,0.622022957
78,0.382179726,0.141759335,0.370923222
79,0.517865078,0.17023902,0.328732382
80,0.794694714,0.22662606,0.285173735
81,3.774936411,0.812008207,0.215105135
82,0.001383266,0.006286386,4.544595745
83,0.001217874,0.005397755,4.432111512
84,0.027244812,0.027364144,1.004380003
85,0.001208084,0.005690918,4.710697248
86,0.207462282,0.083790822,0.403884609
87,0.078300579,0.047151985,0.602192039
88,0.670399019,0.175888737,0.262364251
89,1.286791596,0.286495369,0.222643177
90,4.130192711,0.758540467,0.183657403
91,0.000877328,0.003912646,4.459728222
92,0.051774643,0.031048094,0.599677605
93,0.034629771,0.025114021,0.725214774
94,0.103330614,0.044841973,0.433965997
95,0.119087295,0.047975265,0.402857964
96,0.204411983,0.065202442,0.318975633
97,0.457672049,0.107404144,0.234674904
98,1.002073332,0.195352918,0.194948724
99,2.659112766,0.419798419,0.157871612
1,0.023011197,0.124374495,5.404955409
2,0.026883525,0.152493044,5.67236054
3,0.027173787,0.175647985,6.463875768
4,0.025785504,0.152426009,5.911306138
5,0.025761967,0.167733012,6.510877464
6,0.513873696,0.814252538,1.584538271
7,0.02488316,0.124570582,5.006220409
8,3.999157404,3.508484103,0.877305829
9,1.900879356,2.058025218,1.082670087
10,0.017722204,0.091265451,5.149779968
11,0.016753777,0.092474762,5.519636593
12,0.016497262,0.087006362,5.273987862
13,0.018801811,0.110987436,5.903018445
14,0.016157199,0.082239918,5.089986185
15,0.352933511,0.495459073,1.403831196
16,0.996791449,0.946827295,0.949875018
17,3.751502593,2.604892409,0.694359752
18,1.941607604,1.611332741,0.829896184
19,0.012358809,0.059789931,4.837839159
20,0.01265319,0.065014715,5.138207633
21,0.012858146,0.06237605,4.851092079
22,0.013002299,0.073959871,5.688214787
23,0.012793828,0.063106085,4.932541194
24,0.764896282,0.678266731,0.886743401
25,0.012513227,0.067029047,5.356655694
26,1.009311059,0.825764722,0.818146908
27,2.188425211,1.457736873,0.666112264
28,0.008653224,0.042203396,4.877187753
29,0.008267193,0.037362156,4.519327741
30,0.008251462,0.041607704,5.042464153
31,0.008700691,0.04303727,4.946419837
32,0.513426329,0.409213314,0.797024405
33,0.176872265,0.206022963,1.164812148
34,1.177812564,0.732819843,0.622187151
35,1.003873089,0.627334865,0.624914515
36,3.113445297,1.599885352,0.513863325
37,0.005376542,0.025654197,4.771505129
38,0.005702369,0.026634352,4.670752441
39,0.118539043,0.13040377,1.100091302
40,0.116638904,0.129071074,1.106586817
41,0.118818024,0.131554736,1.107195118
42,0.340016536,0.235324131,0.692096137
43,0.452852206,0.285702323,0.63089529
44,0.669925753,0.372882163,0.556602222
45,1.881489515,0.845791345,0.449532851
46,0.00449962,0.020283774,4.507886187
47,0.004625872,0.021215517,4.586274003
48,0.00489916,0.02408439,4.916024008
49,0.004793539,0.022123955,4.615370155
50,0.096599934,0.104458895,1.08135576
51,0.00436609,0.019877917,4.552795948
52,1.091069709,0.486765777,0.446136276
53,0.917070227,0.423097738,0.461358057
54,3.689492729,1.346478244,0.364949423
55,0.003715767,0.016693568,4.492630216
56,0.003609063,0.017251027,4.779918364
57,0.075483797,0.080004127,1.059884774
58,0.362166976,0.196967663,0.543858705
59,0.003708817,0.017623414,4.751761978
60,0.574065158,0.267670728,0.46627238
61,0.646514832,0.288766258,0.446650632
62,0.57253501,0.263018774,0.459393346
63,1.778922569,0.620048433,0.348552794
64,0.002699387,0.012372921,4.583604628
65,0.002636938,0.012732195,4.828400324
66,0.161486306,0.105654085,0.65426034
67,0.002456494,0.010796164,4.394947618
68,0.055593585,0.057439698,1.033207297
69,0.320148124,0.152875097,0.477513644
70,0.584315741,0.235654836,0.40330051
71,1.262608394,0.398450576,0.315577322
72,3.134429409,0.845623422,0.269785441
73,0.001638414,0.007054029,4.3053996
74,0.001560004,0.006919508,4.435570353
75,0.036363283,0.037317214,1.026233367
76,0.174046709,0.084824711,0.487367508
77,0.071387327,0.053220925,0.745523428
78,0.139729789,0.074219191,0.531162263
79,0.519361916,0.167930548,0.323340127
80,1.449506139,0.360720531,0.248857539
81,3.308919803,0.726280494,0.219491719
82,0.001281489,0.005583505,4.357045676
83,0.026566081,0.026788348,1.008366552
84,0.026765119,0.026160625,0.977414823
85,0.155596043,0.07005869,0.450260097
86,0.180987862,0.075212402,0.415566004
87,0.284349755,0.098521542,0.346480138
88,0.334444463,0.109182636,0.32645969
89,1.027568516,0.234405123,0.228116295
90,3.041612632,0.581743319,0.191261475
91,0.000799456,0.003523827,4.407778752
92,0.03513482,0.026025417,0.740730054
93,0.068622233,0.036383821,0.530204562
94,0.06868335,0.035496415,0.516812513
95,0.102275867,0.043738503,0.427652234
96,0.288350911,0.079782697,0.276686129
97,0.610875604,0.131600646,0.215429532
98,0.898362982,0.173591359,0.193230757
99,2.893978384,0.444131481,0.153467449
1,0.025297841,0.153888609,6.083072809
2,0.026398062,0.136076842,5.154804316
3,0.021693005,0.106896096,4.927675886
4,0.025161462,0.156599628,6.223788995
5,0.024815296,0.1734222,6.988520228
6,0.026576562,0.163310423,6.144904109
7,0.023827289,0.135189982,5.673745792
8,2.324686195,2.150637096,0.925130067
9,5.117946333,3.930219652,0.767929047
10,0.014902413,0.081515433,5.469948455
11,0.017717603,0.108153795,6.104312963
12,0.016520708,0.103577932,6.26958203
13,0.35788485,0.509228257,1.422882968
14,1.005498948,0.984958566,0.979571951
15,0.669927239,0.691887357,1.032779856
16,0.015798437,0.076050656,4.813808862
17,1.614266731,1.3050763,0.808463852
18,1.324802178,1.173339728,0.885671648
19,0.012129513,0.063293748,5.218160657
20,0.011937148,0.057749241,4.837775256
21,0.013397637,0.068228998,5.092614352
22,0.013364751,0.07502858,5.613915082
23,0.5146196,0.516433803,1.003525327
24,0.01376607,0.080651522,5.858717853
25,1.732180183,1.22840415,0.709166496
26,0.757109215,0.664891266,0.878197296
27,3.143903026,2.016952594,0.64154415
28,0.008525088,0.043891151,5.14846912
29,0.173513214,0.202671013,1.168043679
30,0.008222236,0.037895887,4.608951705
31,0.175554534,0.203748393,1.160598865
32,0.008294729,0.042639165,5.140513325
33,0.346849513,0.311962877,0.899418525
34,1.504765664,0.90378637,0.600616024
35,0.337971,0.301510469,0.892119351
36,6.144923047,2.774971063,0.451587602
37,0.005680517,0.026207406,4.613560168
38,0.116950865,0.126349185,1.080361268
39,0.005641961,0.026837107,4.75669796
40,0.005657054,0.026107802,4.615087642
41,0.231364723,0.192424462,0.831693179
42,0.23250836,0.192301001,0.827071338
43,1.012618255,0.516785251,0.51034558
44,1.231580013,0.602574251,0.489269268
45,4.861425641,1.883571388,0.387452473
46,0.004521069,0.021025705,4.650605054
47,0.004708146,0.022036559,4.680517601
48,0.004778282,0.022681092,4.74670412
49,0.004539611,0.020218586,4.453814519
50,0.00472979,0.021726196,4.593480322
51,0.004687812,0.020859685,4.449770042
52,0.370711953,0.229894134,0.620142222
53,2.171688362,0.838632735,0.386166243
54,4.098033093,1.43429877,0.349996873
55,0.003572349,0.016515547,4.623162209
56,0.075722896,0.08052326,1.063393828
57,0.075154983,0.07943364,1.056931123
