param,Site,historic_trap,Region
mu.1.,CAC,yes,Whatcom
mu.2.,CCO,no,Central_Sound
mu.3.,CHU,yes,Whatcom
mu.4.,DAK,yes,Whatcom
mu.5.,DBL,no,Central_Sound
mu.6.,DEL,no,Central_Sound
mu.7.,GSC,yes,Central_Sound
mu.8.,IND,yes,Central_Sound
mu.9.,JIM,yes,Central_Sound
mu.10.,JOR,yes,Coast
mu.11.,KVI,no,South_Sound
mu.12.,NON,no,Whatcom
mu.13.,OSH,yes,Coast
mu.14.,PIL,yes,Whatcom
mu.15.,RAA,no,South_Sound
mu.16.,STA,yes,Coast
mu.17.,TIT,no,South_Sound
mu.18.,TKE,yes,Coast
mu.19.,TKW,yes,Coast
mu.20.,WLS,yes,Whatcom
